kepid,kepler_name,period,t0,duration_hrs,disposition,depth_ppm,duration_days
6587280,Kepler-243 b,5.715425977,174.87931,2.5242,CONFIRMED,908.1,0.105175
9471974,Kepler-108 b,49.18394185,141.911924,11.3364,CONFIRMED,1646.2,0.47235
6587280,Kepler-243 c,20.0261412,146.91109,1.611,CONFIRMED,421.2,0.067125
6599919,,13.61014819,173.987319,2.594,CANDIDATE,5732.9,0.10808333333333332
6675056,,10.44331991,175.4046,2.743,FALSE POSITIVE,1159.8,0.11429166666666667
6685526,Kepler-707 b,2.237489571,170.81914,1.8119,CONFIRMED,315.8,0.07549583333333333
6756669,,5.851520671,173.8228336,3.11058,FALSE POSITIVE,33003.6,0.12960750000000001
6784235,Kepler-708 b,3.167893418,172.147959,2.1814,CONFIRMED,781.2,0.09089166666666666
6849310,Kepler-244 b,4.311780262,173.576483,2.7251,CONFIRMED,1154.0,0.11354583333333333
6849310,Kepler-244 d,20.0504494,188.08821,4.556,CONFIRMED,840.9,0.18983333333333333
6849310,Kepler-244 c,9.76734503,186.57718,1.6585,CONFIRMED,569.1,0.06910416666666667
6862328,,119.0207044,222.236492,8.1405,CANDIDATE,7430.5,0.3391875
9471974,Kepler-108 c,190.3200468,312.68498,15.284,CONFIRMED,1141.7,0.6368333333333334
6862603,,2.861159894,171.648106,1.8832,FALSE POSITIVE,1014.3,0.07846666666666667
7366258,Kepler-82 b,26.44439337,194.12074,3.9783,CONFIRMED,1843.5,0.1657625
7366258,Kepler-82 c,51.53997972,174.055011,6.3994,CONFIRMED,3644.3,0.26664166666666667
7366258,Kepler-82 e,5.902245782,136.78393,2.9003,CONFIRMED,702.3,0.12084583333333333
7366258,Kepler-82 d,2.382951591,135.080841,1.8876,CONFIRMED,391.6,0.07865
7373451,Kepler-712 b,21.02250608,207.67593,4.1072,CONFIRMED,1772.5,0.17113333333333333
6948054,Kepler-245 e,3.219814777,133.00406,2.0642,CONFIRMED,488.2,0.08600833333333334
6949607,Kepler-28 b,5.912273234,172.184012,2.3254,CONFIRMED,961.4,0.09689166666666667
6949607,Kepler-28 c,8.98581901,175.68418,2.8606,CONFIRMED,881.3,0.11919166666666665
7031517,,12.940668656,179.423014,2.4845,CANDIDATE,42450.0,0.10352083333333334
11869052,,20.5452375,137.91394,2.517,FALSE POSITIVE,218.5,0.104875
7109675,Kepler-46 b,33.60123371,186.680343,4.4056,CONFIRMED,7425.9,0.18356666666666666
7109675,Kepler-46 d,6.76652928,138.0637,2.9004,CONFIRMED,450.7,0.12085
7118364,Kepler-710 b,4.347288783,172.23343,2.1024,CONFIRMED,451.6,0.0876
7134976,Kepler-246 b,4.601811819,169.98108,2.2607,CONFIRMED,755.9,0.09419583333333333
7134976,Kepler-246 c,11.18719905,137.17814,3.252,CONFIRMED,353.6,0.13549999999999998
7135852,Kepler-1729 b,4.220965778,170.622433,3.0854,CONFIRMED,2260.0,0.12855833333333333
7270230,,6.998099523,171.898913,2.0488,FALSE POSITIVE,20285.0,0.08536666666666666
7287995,Kepler-81 b,5.95489993,170.955871,2.3892,CONFIRMED,1410.7,0.09955000000000001
7287995,Kepler-81 c,12.03987488,181.22536,2.7363,CONFIRMED,1250.6,0.1140125
7287995,Kepler-81 d,20.83762895,132.08488,2.3734,CONFIRMED,439.0,0.09889166666666667
3247396,,8.8111022,136.4568,5.0683,FALSE POSITIVE,401.1,0.21117916666666667
7303253,Kepler-711 b,23.58917143,173.81994,5.073,CONFIRMED,1200.7,0.211375
5094751,Kepler-109 b,6.481633073,122.977657,3.784,CONFIRMED,298.5,0.15766666666666665
7678434,Kepler-716 b,10.37168928,172.61729,3.035,CONFIRMED,1254.9,0.12645833333333334
7678434,Kepler-716 c,3.96996298,137.75447,1.1757,CONFIRMED,299.2,0.048987499999999996
7685981,Kepler-717 b,4.40841331,172.18582,5.012,CONFIRMED,549.4,0.20883333333333332
7708215,,7.9426176,174.52563,6.703,FALSE POSITIVE,1590.7,0.27929166666666666
7373451,Kepler-712 c,226.8904775,207.35971,7.558,CONFIRMED,3136.4,0.3149166666666667
7377033,,1.956811408,170.694208,2.1958,FALSE POSITIVE,24905.0,0.09149166666666668
7380537,,2.688899233,170.1020904,2.11275,CANDIDATE,37491.6,0.08803125
7434875,Kepler-247 c,9.439459486,177.186096,2.8979,CONFIRMED,3036.1,0.12074583333333333
8349582,Kepler-95 b,11.523067458,131.969055,3.8757,CONFIRMED,507.3,0.1614875
7434875,Kepler-247 d,20.47748843,178.66786,2.8364,CONFIRMED,1382.4,0.11818333333333332
7434875,Kepler-247 b,3.336123113,135.31623,1.9616,CONFIRMED,516.3,0.08173333333333334
7455287,Kepler-54 b,8.01078456,170.20739,2.312,CONFIRMED,1333.6,0.09633333333333333
7455287,Kepler-54 c,12.07134205,143.45948,4.3224,CONFIRMED,759.2,0.1801
7455287,Kepler-54 d,20.99587872,152.31554,2.6333,CONFIRMED,767.3,0.10972083333333334
7458762,Kepler-713 b,7.41113177,175.34754,2.5242,CONFIRMED,620.5,0.105175
7552344,,1.000747038,169.974229,0.9967,FALSE POSITIVE,1823.5,0.041529166666666666
757450,Kepler-75 b,8.884922995,169.991686,2.07004,CONFIRMED,16053.4,0.08625166666666667
7585481,Kepler-714 b,8.09888906,176.623731,4.20241,CONFIRMED,6911.1,0.17510041666666668
7663691,Kepler-715 b,10.00653012,176.96898,5.344,CONFIRMED,936.1,0.22266666666666668
5812701,Kepler-448 b,17.855221681,146.596466,7.41287,CONFIRMED,9065.2,0.3088695833333333
8013419,,12.732624065,176.939054,2.2083,CANDIDATE,6465.7,0.0920125
